"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20090101 ~ 20090131"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.915","200901","6","6,800","3","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","116.175","200901","19","10,500","4","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","200901","31","5,600","10","1997","경강로2539번길 8"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","200901","15","12,500","6","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","200901","27","14,300","10","2005","경강로2539번길 22"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","49.85","200901","11","6,300","15","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200901","16","8,000","13","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","200901","19","10,000","4","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200901","19","7,000","8","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200901","19","8,180","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200901","31","8,200","9","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","84.97","200901","3","14,000","14","1999","교동광장로 138-15"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","200901","6","8,500","10","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","200901","7","8,500","12","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","200901","7","8,300","13","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.79","200901","13","8,500","6","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","200901","14","8,550","11","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","200901","29","8,250","3","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.86","200901","30","8,000","10","2002","교동광장로 138-12"
"강원도 강릉시 교동","18-16","0018","0016","교동대림","59.84","200901","13","6,000","11","1997","수리골길17번길 21"
"강원도 강릉시 교동","332-2","0332","0002","대인맨션","84.72","200901","5","6,500","4","1991","화부산로141번길 45"
"강원도 강릉시 교동","332-2","0332","0002","대인맨션","84.12","200901","7","6,550","3","1991","화부산로141번길 45"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","200901","5","9,717","7","2001","교동광장로 163"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","200901","23","9,717","9","2001","교동광장로 163"
"강원도 강릉시 교동","1775","1775","0000","부영6","84.9763","200901","2","10,100","1","2003","정원로 53-9"
"강원도 강릉시 교동","1775","1775","0000","부영6","84.9763","200901","23","12,700","10","2003","정원로 53-9"
"강원도 강릉시 교동","46-1","0046","0001","한신","84.98","200901","2","8,500","8","1997","명륜로 95-7"
"강원도 강릉시 교동","828-19","0828","0019","현대","84.515","200901","21","8,600","13","1992","옛강일길 41"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","122.74","200901","23","19,500","13","1999","원대로128번길 14"
"강원도 강릉시 내곡동","75-1","0075","0001","관동2","49.94","200901","10","3,550","3","1992","남산초교길12번길 11"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","84.99","200901","9","10,000","11","1998","범일로 645"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.3","200901","16","3,400","4","1989","관대길16번길 6"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.69","200901","17","3,100","3","1989","관대길16번길 6"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","200901","18","6,700","14","1997","강변로 114"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","84.95","200901","19","7,500","2","1997","강변로 114"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","200901","19","6,700","2","1997","강변로 114"
"강원도 강릉시 노암동","618-1","0618","0001","고합","41.58","200901","5","2,700","10","1996","남부로125번길 23"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","39.762","200901","19","4,100","6","2000","남부로125번길 7"
"강원도 강릉시 노암동","610","0610","0000","노암남산현대","84.99","200901","10","8,500","11","1998","남부로125번길 11"
"강원도 강릉시 노암동","627-2","0627","0002","대림임대","48.32","200901","13","2,000","1","1989","임영로25번길 13"
"강원도 강릉시 노암동","627-2","0627","0002","대림임대","48.32","200901","23","2,930","2","1989","임영로25번길 13"
"강원도 강릉시 노암동","711","0711","0000","신화","84.954","200901","19","9,300","6","1998","강변로 270"
"강원도 강릉시 노암동","679-1","0679","0001","영진3","59.67","200901","15","4,900","11","1996","임영로26번길 10"
"강원도 강릉시 송정동","1061","1061","0000","경포대신도브래뉴로얄카운티","155.837","200901","7","31,900","8","2007","해안로 93-8"
"강원도 강릉시 송정동","1061","1061","0000","경포대신도브래뉴로얄카운티","155.416","200901","10","31,300","5","2007","해안로 93-8"
"강원도 강릉시 송정동","1061","1061","0000","경포대신도브래뉴로얄카운티","155.416","200901","19","30,000","15","2007","해안로 93-8"
"강원도 강릉시 연곡면 영진리","380","0380","0000","영진부영3","84.9157","200901","12","14,200","7","2008","영진3길 15"
"강원도 강릉시 연곡면 영진리","380","0380","0000","영진부영3","84.9157","200901","13","14,200","7","2008","영진3길 15"
"강원도 강릉시 연곡면 영진리","380","0380","0000","영진부영3","84.9157","200901","21","14,200","8","2008","영진3길 15"
"강원도 강릉시 입암동","321","0321","0000","강릉입암동금호어울림","157.22","200901","13","29,990","12","2007","성덕로 328-15"
"강원도 강릉시 입암동","321","0321","0000","강릉입암동금호어울림","123.65","200901","22","18,000","15","2007","성덕로 328-15"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200901","5","6,100","4","2000","강변로440번길 30"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","84.7","200901","13","10,600","13","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","122.72","200901","21","11,400","1","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","122.72","200901","21","11,400","1","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","84.7","200901","23","12,900","9","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","122.72","200901","29","11,400","1","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","157.34","200901","29","16,000","2","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","122.72","200901","30","12,600","2","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","157.34","200901","30","14,500","1","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","157.34","200901","30","16,000","2","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","122.72","200901","30","14,000","14","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","122.72","200901","31","13,800","6","2006","성덕로 316-22"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","157.34","200901","31","17,600","8","2006","성덕로 316-22"
"강원도 강릉시 입암동","641","0641","0000","입암1주공","39.72","200901","16","2,900","4","1986","강변로 364"
"강원도 강릉시 입암동","641","0641","0000","입암1주공","39.72","200901","20","3,300","3","1986","강변로 364"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200901","3","6,150","9","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200901","5","6,200","5","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200901","15","6,200","8","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200901","19","6,300","11","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200901","28","6,200","11","1998","성덕포남로 39"
"강원도 강릉시 저동","4-4","0004","0004","경포현대","84.915","200901","13","8,900","3","1996","경포로463번안길 14"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200901","9","4,950","10","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","240-11","0240","0011","극동","63.18","200901","15","3,300","5","1991","웃사다리4길 20"
"강원도 강릉시 주문진읍 교항리","486","0486","0000","대일아트빌라","59.76","200901","5","2,500","2","1992","매맥이길 34"
"강원도 강릉시 주문진읍 교항리","387-6","0387","0006","주공","39.38","200901","18","2,500","5","1982","신리천로 72"
"강원도 강릉시 주문진읍 교항리","387-6","0387","0006","주공","39.38","200901","19","2,500","5","1982","신리천로 72"
