"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20170801 ~ 20170831"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 교동","1984","강릉 교동 풍림아이원 아파트","84.9964","23,840","10","201708","4","분"
"강원도 강릉시 교동","1984","강릉 교동 풍림아이원 아파트","84.9964","23,430","6","201708","4","분"
"강원도 강릉시 교동","1984","강릉 교동 풍림아이원 아파트","84.9964","24,340","3","201708","19","분"
"강원도 강릉시 교동","1984","강릉 교동 풍림아이원 아파트","66.0388","19,880","13","201708","31","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,740","19","201708","4","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,530","7","201708","4","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,430","4","201708","11","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,940","12","201708","15","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,720","8","201708","16","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,770","12","201708","24","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","24,240","12","201708","30","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","24,836","7","201708","17","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,577","6","201708","18","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,557","10","201708","21","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","23,489","6","201708","22","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,192","22","201708","1","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","16","201708","4","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,192","8","201708","11","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,042","10","201708","16","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,522","3","201708","16","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,072","2","201708","18","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","18,312","14","201708","19","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,392","7","201708","21","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,092","24","201708","23","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","18,232","12","201708","29","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","18,032","10","201708","30","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","19,692","11","201708","31","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.9955","25,231","17","201708","2","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.9955","25,233","9","201708","4","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.9955","25,281","16","201708","4","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.961","24,361","14","201708","9","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.961","23,710","8","201708","12","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.8863","25,281","10","201708","26","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","74.9985","21,246","14","201708","1","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","84.9925","22,731","17","201708","2","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","84.99","22,831","10","201708","9","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","74.9974","20,181","13","201708","25","분"
"강원도 동해시 동회동","116-2","동해 북삼 하우스디","74.7297","20,750","17","201708","8","분"
"강원도 동해시 동회동","116-2","동해 북삼 하우스디","84.9625","23,510","6","201708","10","분"
"강원도 동해시 동회동","116-2","동해 북삼 하우스디","74.3567","20,450","11","201708","16","분"
"강원도 동해시 동회동","116-2","동해 북삼 하우스디","74.3567","20,850","15","201708","31","분"
"강원도 동해시 동회동","120","동해 북삼2차 웰메이드타운","84.6872","25,580","13","201708","28","분"
"강원도 동해시 동회동","120","동해 북삼2차 웰메이드타운","84.6872","25,780","15","201708","29","분"
"강원도 동해시 발한동","501-11","현대썬앤빌 동해파크힐","59.8993","15,888","9","201708","22","분"
"강원도 동해시 발한동","501-11","현대썬앤빌 동해파크힐","59.8993","15,788","11","201708","22","분"
"강원도 동해시 이도동","108","동해 아이파크","84.98","25,180","12","201708","17","분"
"강원도 동해시 이도동","108","동해 아이파크","59.95","18,000","6","201708","24","분"
"강원도 삼척시 교동","산145","삼척　교동　ｅ편한세상","74.5123","21,349","28","201708","1","분"
"강원도 삼척시 교동","산145","삼척　교동　ｅ편한세상","74.5123","21,040","20","201708","3","분"
"강원도 삼척시 교동","산145","삼척　교동　ｅ편한세상","59.8769","16,940","25","201708","4","분"
"강원도 삼척시 교동","산145","삼척　교동　ｅ편한세상","59.8769","17,210","30","201708","4","분"
"강원도 삼척시 교동","산145","삼척　교동　ｅ편한세상","59.8769","17,460","33","201708","7","분"
"강원도 삼척시 교동","산145","삼척　교동　ｅ편한세상","74.5123","20,430","7","201708","18","분"
"강원도 삼척시 교동","산145","삼척　교동　ｅ편한세상","74.529","21,080","26","201708","29","분"
"강원도 삼척시 교동","산145","삼척　교동　ｅ편한세상","59.8769","16,720","15","201708","29","분"
"강원도 삼척시 교동","산127-1","삼척　교동　지웰　라티움","84.869","22,830","15","201708","2","분"
"강원도 삼척시 교동","산127-1","삼척　교동　지웰　라티움","72.3141","19,710","11","201708","5","분"
"강원도 삼척시 교동","산127-1","삼척　교동　지웰　라티움","84.9811","23,080","16","201708","16","분"
"강원도 삼척시 교동","산127-1","삼척　교동　지웰　라티움","59.8194","16,290","14","201708","16","분"
"강원도 삼척시 교동","산127-1","삼척　교동　지웰　라티움","84.869","22,830","10","201708","16","분"
"강원도 삼척시 교동","산127-1","삼척　교동　지웰　라티움","59.9697","16,070","15","201708","18","분"
"강원도 삼척시 교동","산127-1","삼척　교동　지웰　라티움","84.869","21,180","2","201708","23","분"
"강원도 속초시 교동","658-42","속초 교동 블루핀","24.88","9,290","4","201708","1","분"
"강원도 속초시 교동","658-42","속초 교동 블루핀","15.07","9,290","4","201708","2","분"
"강원도 속초시 교동","658-42","속초 교동 블루핀","15.07","9,290","4","201708","2","분"
"강원도 속초시 교동","658-42","속초 교동 블루핀","24.88","12,740","15","201708","7","분"
"강원도 속초시 교동","658-42","속초 교동 블루핀","24.88","12,840","10","201708","16","분"
"강원도 속초시 교동","658-42","속초 교동 블루핀","24.88","12,440","11","201708","24","분"
